epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1294.66,1.21304,1.09878,1.21469,0.75562,0.79005,0.82136,0.49332,1.33202,1.06559,1.2953,0.0014456,0.0014456,0.0014456
86,1309.51,1.22531,1.07199,1.1981,0.78423,0.66407,0.74539,0.42499,1.44334,1.14376,1.33772,0.001439,0.001439,0.001439
87,1324.79,1.22973,1.08419,1.2017,0.82012,0.75161,0.82625,0.49834,1.35591,0.9884,1.30452,0.0014324,0.0014324,0.0014324
88,1339.47,1.22087,1.0738,1.20808,0.80727,0.65474,0.73692,0.42753,1.46234,1.16991,1.40174,0.0014258,0.0014258,0.0014258
89,1354.35,1.1941,1.05207,1.18668,0.7206,0.70192,0.73785,0.43362,1.43433,1.15546,1.3618,0.0014192,0.0014192,0.0014192
90,1369.48,1.22598,1.06048,1.195,0.81337,0.71169,0.80461,0.47904,1.32657,1.02354,1.2784,0.0014126,0.0014126,0.0014126
91,1384.29,1.21096,1.08082,1.18637,0.82514,0.74122,0.83113,0.48544,1.36515,0.97156,1.29118,0.001406,0.001406,0.001406
92,1398.6,1.1947,1.02881,1.16668,0.81575,0.73872,0.82409,0.50645,1.33263,0.9915,1.29388,0.0013994,0.0013994,0.0013994
93,1413.81,1.24805,1.08589,1.19314,0.86611,0.7445,0.82783,0.51401,1.31791,0.96037,1.28312,0.0013928,0.0013928,0.0013928
94,1428.55,1.21404,1.06681,1.18282,0.82176,0.76719,0.82304,0.48948,1.34228,0.97868,1.31531,0.0013862,0.0013862,0.0013862
95,1443.57,1.22768,1.0586,1.19257,0.78407,0.75894,0.81251,0.49391,1.37755,1.03545,1.33796,0.0013796,0.0013796,0.0013796
96,1458.5,1.18561,1.00798,1.18131,0.84222,0.73882,0.82378,0.50012,1.33167,0.99519,1.30755,0.001373,0.001373,0.001373
97,1473.29,1.19161,1.02592,1.18535,0.69917,0.58942,0.64273,0.37672,1.56231,1.40114,1.50478,0.0013664,0.0013664,0.0013664
98,1488.12,1.14326,1.03021,1.14715,0.78514,0.74449,0.81753,0.50527,1.32953,0.98067,1.29986,0.0013598,0.0013598,0.0013598
99,1503.13,1.19026,1.0043,1.1625,0.69417,0.6423,0.69478,0.40139,1.49436,1.38361,1.39893,0.0013532,0.0013532,0.0013532
100,1517.87,1.18951,1.04094,1.17559,0.82354,0.69673,0.77912,0.47351,1.34877,1.04562,1.30578,0.0013466,0.0013466,0.0013466
101,1533.06,1.19054,1.03198,1.17444,0.81466,0.71073,0.80038,0.48904,1.379,1.02137,1.34645,0.00134,0.00134,0.00134
102,1547.71,1.18236,1.00575,1.16455,0.82578,0.71229,0.81049,0.48294,1.38419,1.01222,1.30464,0.0013334,0.0013334,0.0013334
103,1562.96,1.15646,1.02229,1.17823,0.83841,0.72623,0.81442,0.51108,1.3145,0.99691,1.279,0.0013268,0.0013268,0.0013268
104,1578.18,1.16794,0.99982,1.15542,0.83162,0.75272,0.82197,0.506,1.35081,0.92746,1.32139,0.0013202,0.0013202,0.0013202
105,1592.86,1.19024,0.99044,1.18072,0.80638,0.67496,0.74701,0.45795,1.40255,1.20033,1.34904,0.0013136,0.0013136,0.0013136
106,1608.15,1.14415,0.9978,1.15804,0.80219,0.63142,0.72429,0.42898,1.48364,1.20807,1.38665,0.001307,0.001307,0.001307
107,1622.54,1.13369,0.96973,1.16352,0.80293,0.77605,0.825,0.48763,1.37851,0.96781,1.32377,0.0013004,0.0013004,0.0013004
108,1637.44,1.1516,0.9857,1.14926,0.84803,0.73561,0.82031,0.51482,1.3203,0.94647,1.29638,0.0012938,0.0012938,0.0012938
109,1652.19,1.16158,0.97898,1.16463,0.8269,0.7652,0.8241,0.51309,1.30754,0.94319,1.26824,0.0012872,0.0012872,0.0012872
110,1667.3,1.16324,0.96492,1.15937,0.85465,0.7605,0.83663,0.5205,1.30538,0.92374,1.27735,0.0012806,0.0012806,0.0012806
111,1682.7,1.12597,0.97452,1.14347,0.81675,0.79018,0.85396,0.53106,1.30565,0.90315,1.25203,0.001274,0.001274,0.001274
