epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,2606.84,1.31809,1.24847,1.20699,0.61092,0.73313,0.69715,0.39082,1.54243,1.25597,1.42832,0.0009836,0.0009836,0.0009836
156,2623.43,1.30032,1.19515,1.20562,0.6644,0.60662,0.66845,0.33684,1.68656,1.38224,1.51716,0.000977,0.000977,0.000977
157,2640.19,1.34137,1.18019,1.20595,0.7044,0.69211,0.68763,0.36905,1.57537,1.23574,1.44238,0.0009704,0.0009704,0.0009704
158,2656.11,1.2913,1.16413,1.18359,0.64982,0.71324,0.66905,0.3607,1.58267,1.28162,1.44602,0.0009638,0.0009638,0.0009638
159,2676.4,1.27478,1.17565,1.19699,0.72102,0.63603,0.67916,0.37207,1.57007,1.36503,1.45592,0.0009572,0.0009572,0.0009572
160,2692.88,1.28962,1.13702,1.17888,0.71963,0.67279,0.69339,0.38815,1.5417,1.27051,1.41837,0.0009506,0.0009506,0.0009506
161,2709.75,1.29282,1.1322,1.19928,0.6896,0.66978,0.66126,0.35223,1.61744,1.32857,1.47611,0.000944,0.000944,0.000944
162,2725.68,1.31792,1.19721,1.20246,0.71585,0.62132,0.6684,0.36401,1.5933,1.32101,1.49664,0.0009374,0.0009374,0.0009374
163,2742.62,1.29665,1.14542,1.19948,0.71704,0.65216,0.68362,0.36658,1.59059,1.29019,1.46974,0.0009308,0.0009308,0.0009308
164,2759.15,1.30654,1.21615,1.20365,0.70978,0.6875,0.69156,0.37251,1.5873,1.25302,1.45762,0.0009242,0.0009242,0.0009242
165,2775.53,1.30829,1.18843,1.21802,0.68914,0.68463,0.67269,0.3644,1.5959,1.2985,1.46852,0.0009176,0.0009176,0.0009176
166,2792.05,1.23296,1.145,1.17443,0.65645,0.70588,0.68101,0.36232,1.63058,1.29478,1.48579,0.000911,0.000911,0.000911
167,2812.21,1.26239,1.16238,1.15669,0.67091,0.67457,0.67387,0.37205,1.5642,1.293,1.41606,0.0009044,0.0009044,0.0009044
168,2828.96,1.27711,1.11108,1.18152,0.70743,0.67279,0.6739,0.36187,1.56352,1.23192,1.43376,0.0008978,0.0008978,0.0008978
169,2845.48,1.27282,1.13934,1.17634,0.6884,0.66544,0.65448,0.34381,1.57752,1.31531,1.46675,0.0008912,0.0008912,0.0008912
170,2861.98,1.27047,1.12004,1.18671,0.69591,0.70221,0.69043,0.36581,1.62512,1.2725,1.52164,0.0008846,0.0008846,0.0008846
171,2879.03,1.24968,1.09607,1.18892,0.6944,0.71324,0.70199,0.37691,1.60213,1.24359,1.51727,0.000878,0.000878,0.000878
172,2895.5,1.26781,1.14005,1.18684,0.69017,0.65441,0.65492,0.35651,1.58822,1.31795,1.47564,0.0008714,0.0008714,0.0008714
173,2912.57,1.28471,1.12985,1.20374,0.78958,0.67597,0.72041,0.38518,1.58729,1.23737,1.46607,0.0008648,0.0008648,0.0008648
174,2928.93,1.22255,1.07674,1.16749,0.75982,0.64706,0.683,0.36529,1.61696,1.27261,1.52267,0.0008582,0.0008582,0.0008582
175,2949.16,1.21534,1.0902,1.16599,0.67188,0.69118,0.66001,0.34279,1.62163,1.30052,1.50539,0.0008516,0.0008516,0.0008516
176,2965.44,1.26497,1.13315,1.17354,0.6836,0.72794,0.70678,0.37259,1.55731,1.23573,1.41911,0.000845,0.000845,0.000845
177,2981.69,1.25171,1.06566,1.16706,0.68624,0.76103,0.72668,0.37949,1.59444,1.23625,1.44613,0.0008384,0.0008384,0.0008384
178,2998.78,1.23883,1.15078,1.18254,0.72166,0.77208,0.72537,0.38337,1.53307,1.19301,1.41198,0.0008318,0.0008318,0.0008318
179,3015.26,1.26057,1.09192,1.16749,0.72281,0.70221,0.71601,0.39068,1.55221,1.20233,1.42301,0.0008252,0.0008252,0.0008252
180,3031.22,1.24537,1.07775,1.17185,0.67088,0.70588,0.70172,0.37854,1.60187,1.29324,1.44979,0.0008186,0.0008186,0.0008186
181,3047.29,1.2695,1.14585,1.17421,0.7696,0.65086,0.71885,0.39876,1.50991,1.1778,1.41769,0.000812,0.000812,0.000812
182,3063.74,1.25982,1.12097,1.19619,0.66373,0.68015,0.68012,0.37102,1.60216,1.31858,1.45097,0.0008054,0.0008054,0.0008054
